class,alcohol,malic acid,ash,alcalinity_of_ash,magnesium,color
1,14.23,1.71,2.43,15.6,127,5.64
1,13.2,1.78,2.14,11.2,100,4.38
1,13.16,2.36,2.67,18.6,101,5.68
1,14.37,1.95,2.5,16.8,112,7.8
1,13.24,2.59,2.87,21,118,4.32
1,14.23,1.76,2.45,15.2,112,6.75
1,14.39,1.87,2.45,14.6,96,5.25
1,14.06,2.15,2.61,17.6,121,5
1,14.83,1.64,2.17,14,97,5.2
1,13.86,1.35,2.27,16,98,7.22
1,14.1,2.16,2.3,18,105,5.75
1,14.12,1.48,2.32,16.8,95,5
1,13.75,1.73,2.41,16,89,5.6
1,14.75,1.73,2.39,11.4,91,5.4
2,12.37,0.94,1.36,10.6,88,1.95
2,12.33,1.1,2.28,16,101,3.27
2,12.64,1.36,2.02,16.8,100,5.75
2,13.67,1.25,1.92,18,94,3.8
2,12.37,1.13,2.16,19,87,4.45
2,12.17,1.45,2.53,19,104,2.95
2,12.37,1.21,2.56,18.1,98,4.6
2,13.11,1.01,1.7,15,78,5.3
2,12.37,1.17,1.92,19.6,78,4.68
2,13.34,0.94,2.36,17,110,3.27
2,12.21,1.19,1.75,16.8,151,2.85
2,12.29,1.61,2.21,20.4,103,3.05
2,13.86,1.51,2.67,25,86,3.38
2,13.49,1.66,2.24,24,87,3.74
2,12.99,1.67,2.6,30,139,3.35
3,12.86,1.24,2.32,18,122,4.1
3,12.88,2.99,2.4,20,104,5.4
3,12.81,2.31,2.4,24,98,5.7
3,12.7,3.55,2.36,21.5,106,5
3,12.51,1.24,2.25,17.5,85,5.45
3,12.6,2.46,2.2,18.5,94,7.1
3,12.25,4.72,2.54,21,89,3.85
3,12.53,5.51,2.64,25,96,5
3,13.49,3.59,2.19,19.5,88,5.7
3,12.84,2.96,2.61,24,101,4.92
3,12.93,2.81,2.7,21,96,4.6
3,13.36,2.56,2.35,20,89,5.6
3,13.52,3.17,2.72,23.5,97,4.35
3,13.62,4.95,2.35,20,92,4.4
3,12.25,3.88,2.2,18.5,112,8.21
